, 0.449622166247,-0.292191435768,0.741813602015
aamir_khan, 0.87714987715,-0.142506142506,1.01965601966
Adele, 1.34285714286,-0.138775510204,1.48163265306
agnezmo, 1.10587882424,-0.0791841631674,1.1850629874
AlejandroSanz, 0.00672908133411,-0.0968402574605,0.103569338795
Alex__Butler, 0.719087264878,-0.193647856923,0.912735121801
aliciakeys, 1.72858830478,-0.101594802126,1.83018310691
ArianaGrande, 1.38547486034,-0.172596295207,1.55807115554
BarackObama, 0.672408672409,-0.220077220077,0.892485892486
BBCBreaking, -0.959455991789,-1.19425198871,0.234795996921
BeingSalmanKhan, 0.12105424456,-0.0266625804474,0.147716825008
Beyonce, 0.588235294118,0.0,0.588235294118
BillGates, 1.4459049545,-0.183518705763,1.62942366026
blakeshelton, 0.537142857143,-0.290952380952,0.828095238095
BrunoMars, 0.600927357032,-0.344667697063,0.945595054096
chrisbrown, 0.596823251098,-0.181818181818,0.778641432917
CNN, -0.110944527736,-0.531934032984,0.420989505247
cnnbrk, -0.656707317073,-0.998170731707,0.341463414634
coldplay, 1.01310043668,-0.100145560408,1.11324599709
ConanOBrien, 0.32785503582,-0.402444163506,0.730299199326
Cristiano, 1.88412514484,-0.0641174198532,1.9482425647
danieltosh, 0.249923617476,-0.362664222426,0.612587839902
davidguetta, 0.69778357236,-0.134289439374,0.832073011734
deepikapadukone, 1.37116451017,-0.137892791128,1.50905730129
Drake, 0.440165876777,-0.30509478673,0.745260663507
edsheeran, 0.5129140079,-0.165603160134,0.678517168034
Eminem, 0.306184012066,-0.212669683258,0.518853695324
EmWatson, 1.17136329018,-0.161462300076,1.33282559025
espn, 0.184028289377,-0.121261234713,0.30528952409
facebook, 1.22826086957,-0.180830039526,1.40909090909
FCBarcelona, 0.747950819672,-0.0671106557377,0.81506147541
globaltimesnews, -0.0738161559889,-0.483286908078,0.409470752089
google, 0.910305910306,-0.0620730620731,0.972378972379
Harry_Styles, 1.20850202429,-0.113071139387,1.32157316368
iamsrk, 0.186826715913,-0.00861803631887,0.195444752231
iamwill, 0.959447281466,-0.144187443677,1.10363472514
instagram, 0.556831922612,-0.0752720677146,0.632103990326
ivetesangalo, -0.0302539168017,-0.0740140464614,0.0437601296596
jeannehopkins, 0.779419915019,-0.101053020506,0.880472935526
JimCarrey, 0.617325227964,-0.291489361702,0.908814589666
jimmyfallon, 1.05903723887,-0.15834090221,1.21737814108
JLo, 0.822824536377,-0.113266761769,0.936091298146
jtimberlake, 0.993357487923,-0.153079710145,1.14643719807
justinbieber, 0.963256907701,-0.109053497942,1.07231040564
KAKA, 0.492774992628,-0.0595694485403,0.552344441168
katyperry, 0.710390790669,-0.192063011209,0.902453801878
KevinHart4real, 0.877717391304,-0.441425120773,1.31914251208
khloekardashian, 1.25038544558,-0.211840888067,1.46222633364
KimKardashian, 1.04238861386,-0.158106435644,1.2004950495
KingJames, 1.35633551457,-0.198096371208,1.55443188578
kitchenchick123, 1.39846860643,-0.105053598775,1.50352220521
kourtneykardash, 0.690300798036,-0.129527317373,0.819828115408
KylieJenner, 0.737179487179,-0.236263736264,0.973443223443
ladygaga, 1.17863554758,-0.174446439258,1.35308198683
LeggeRob, 1.53066579206,-0.090849458839,1.6215152509
Leilajeddah, 0.0,0.0,0.0
LeoDiCaprio, 1.06050955414,-0.272292993631,1.33280254777
LilTunechi, 0.593619972261,-0.217753120666,0.811373092926
lorenridinger, 1.03553921569,-0.197303921569,1.23284313725
Louis_Tomlinson, 1.80772797527,-0.194435857805,2.00216383308
MariahCarey, 1.32313231323,-0.0813081308131,1.40444044404
MileyCyrus, 0.191521805428,-0.385483379079,0.577005184507
narendramodi, 1.30462612744,-0.102414896712,1.40704102415
NASA, 0.535577449371,-0.0793650793651,0.614942528736
NBA, 0.3074204947,-0.0534192475577,0.360839742257
NealSchaffer, 0.705900525178,-0.114921223355,0.820821748533
neymarjr, 0.0473372781065,-0.0177514792899,0.0650887573964
NFL, 0.173492181683,-0.0364854802681,0.209977661951
NiallOfficial, 1.39443436177,-0.243799153055,1.63823351482
NICKIMINAJ, 0.454437518551,-0.340753932918,0.795191451469
nytimes, -0.0238788584741,-0.475829935935,0.451951077461
onedirection, 0.98195329087,-0.0727176220807,1.05467091295
Oprah, 1.39139404657,-0.110521662246,1.50191570881
ParisHilton, 1.58390461997,-0.0849478390462,1.66885245902
Pink, 1.30098243525,-0.295623697529,1.59660613278
pitbull, 1.2790346908,-0.0914027149321,1.37043740573
Real_Liam_Payne, 1.28373075762,-0.205855719891,1.48958647751
realmadrid, 0.0213946916944,-0.00928448884852,0.0306791805429
rihanna, 0.296656534954,-0.344680851064,0.641337386018
RyanSeacrest, 0.763014092609,-0.169398907104,0.932412999712
selenagomez, 1.30242173656,-0.0859421145895,1.38836385115
shakira, 0.70562894888,-0.0907524411258,0.796381390006
SnoopDogg, 0.247777459134,-0.0759965586464,0.32377401778
SportsCenter, 0.356164383562,-0.170402656704,0.526567040266
SrBachchan, 1.09423929099,-0.0682422451994,1.16248153619
taylorswift13, 0.692653673163,-0.103234097237,0.795887770401
TheEllenShow, 1.58365758755,-0.135588147261,1.71924573481
twitter, 0.710578057413,-0.130161226897,0.84073928431
userTopImportance_NF, 0.0,0.0,0.0
vine, 0.741884816754,-0.0785340314136,0.820418848168
weareskinny, 1.8125,0.0,1.8125
wizkhalifa, 0.0305164319249,-0.462147887324,0.492664319249
xtina, 1.81840193705,-0.14406779661,1.96246973366
YouTube, 0.64489671932,-0.130619684083,0.775516403402
zaynmalik, 1.03449465333,-0.19730941704,1.23180407037
